Date,Open,High,Low,Close,Adj Close,Volume
2016-06-10,128.449997,129.229996,128.210007,128.830002,116.536461,3926000
2016-06-13,128.940002,129.449997,127.790001,127.830002,115.631859,4830900
2016-06-14,127.309998,127.440002,124.709999,125.239998,113.289009,7303500
2016-06-15,125.739998,127.750000,125.489998,126.529999,114.455925,5140000
2016-06-16,126.050003,127.540001,125.660004,127.360001,115.206696,4431800
2016-06-17,127.519997,127.779999,126.730003,127.139999,115.007698,7541900
2016-06-20,128.130005,128.850006,127.419998,127.620003,115.441887,3880300
2016-06-21,127.959999,128.309998,127.290001,127.739998,115.550438,3600900
2016-06-22,127.690002,128.970001,127.400002,127.599998,115.423805,3723700
2016-06-23,128.979996,129.100006,127.449997,128.289993,116.047974,4784500
2016-06-24,126.099998,127.800003,125.500000,126.400002,114.338303,8979800
2016-06-27,125.339996,125.750000,123.620003,124.669998,112.773392,5656900
2016-06-28,125.889999,127.529999,125.599998,127.529999,115.360489,5385000
2016-06-29,127.900002,128.470001,126.900002,127.370003,115.215744,5782100
2016-06-30,127.269997,127.860001,126.099998,127.690002,115.505211,6642000
2016-07-01,128.289993,130.229996,128.119995,129.619995,117.251053,5645200
2016-07-05,129.600006,130.479996,128.500000,129.350006,117.006805,4096600
2016-07-06,129.199997,131.610001,129.029999,131.570007,119.014969,4933200
2016-07-07,131.250000,132.179993,130.559998,131.160004,118.644089,3973600
2016-07-08,132.330002,134.360001,132.250000,134.339996,121.520615,4806200
2016-07-11,134.830002,135.880005,134.449997,135.149994,122.253342,4577000
2016-07-12,135.240005,135.990005,134.300003,134.839996,121.972900,3615800
2016-07-13,134.839996,135.199997,133.100006,133.559998,120.815086,4235500
2016-07-14,134.399994,134.789993,133.830002,134.539993,121.701553,3122300
2016-07-15,135.119995,135.589996,134.649994,134.779999,121.918655,5323000
2016-07-18,135.460007,136.479996,134.809998,136.339996,123.329788,3730900
2016-07-19,136.070007,137.050003,135.559998,136.979996,123.908707,3831500
2016-07-20,137.399994,137.449997,136.770004,137.410004,124.297691,3092000
2016-07-21,136.759995,137.139999,135.470001,136.070007,123.085556,4938100
2016-07-22,136.410004,136.639999,135.960007,136.520004,123.492630,2627200
2016-07-25,136.550003,136.850006,136.149994,136.500000,123.474533,3352600
2016-07-26,136.500000,137.509995,136.059998,136.750000,123.700684,2575600
2016-07-27,137.009995,137.690002,135.960007,136.309998,123.302666,3030800
2016-07-28,136.190002,138.119995,136.100006,137.960007,124.795197,3230000
2016-07-29,137.460007,138.720001,137.440002,138.240005,125.048508,3662600
2016-08-01,138.059998,138.940002,137.850006,138.770004,125.527954,3157800
2016-08-02,138.910004,139.000000,136.820007,137.220001,124.125847,3898100
2016-08-03,137.130005,137.220001,135.699997,137.059998,123.981102,3642600
2016-08-04,135.789993,137.199997,135.460007,136.050003,123.067459,3802900
2016-08-05,137.000000,137.740005,136.600006,136.910004,123.845406,3022100
2016-08-08,136.910004,137.399994,136.160004,136.210007,123.212196,3182800
2016-08-09,136.270004,137.089996,135.339996,136.110001,123.121719,3180400
2016-08-10,136.300003,136.889999,135.059998,135.600006,122.660423,3438000
2016-08-11,136.309998,137.500000,135.169998,137.039993,123.962975,4183300
2016-08-12,136.000000,137.389999,135.630005,136.570007,123.537857,4090000
2016-08-15,137.110001,137.970001,136.929993,137.059998,123.981102,6327400
2016-08-16,137.649994,138.649994,135.660004,136.229996,123.230286,7286100
2016-08-17,135.500000,136.470001,134.750000,136.149994,123.157906,5222200
2016-08-18,136.029999,136.149994,134.440002,134.800003,121.936745,4430800
2016-08-19,134.419998,135.759995,134.320007,135.460007,122.533783,3959000
2016-08-22,135.600006,135.850006,135.020004,135.339996,122.425224,2752500
2016-08-23,135.929993,136.550003,135.929993,136.220001,123.221245,2961100
2016-08-24,135.770004,136.250000,134.809998,135.059998,122.171921,4113000
2016-08-25,134.729996,136.160004,134.369995,135.429993,122.506630,3168900
2016-08-26,135.429993,136.179993,133.919998,134.360001,121.538734,4193400
